,Date,Text,Compound,Positive,Negative,Neutral
29,2022-05-31,"BEIJINGReadings of Chinese factory and service-sector activity improved in May, as more cities across the country emerged from lockdowns and officials took steps to boost a sluggish economy, though t… [+2201 chars]",0.4767,0.155,0.072,0.773
30,2022-05-31,"U.S. stock futures edged lower Tuesday after a three-day break, cooling a recent rally as bond yields were rising again.
Whats happening
<ul><li> 
 Futures on the Dow Jones Industrial Average 
 Y… [+1856 chars]",-0.296,0.0,0.064,0.936
31,2022-06-01,"Tullow Oil PLC said Wednesday that it has agreed to merge with Capricorn Energy PLC.The combined group could be valued at 1.42 billion pounds ($1.79 billion), based on Tuesdays closing price.Capricor… [+1208 chars]",0.7269,0.191,0.0,0.809
32,2022-06-01,A private gauge measuring activity in Chinas manufacturing sector declined at a slower pace in May as more cities across the country emerged from lockdowns which brought daily life and economic activ… [+412 chars],0.0,0.0,0.0,1.0
33,2022-06-01,"Shares of Nextdoor Holdings Inc. 
 KIND,
 -1.41%
were higher in Wednesdays late session, after the company said its board approved a $100 million share repurchase plan.
At 6:20 p.m. ET, the compa… [+563 chars]",0.8842,0.274,0.0,0.726
34,2022-06-01,"Riot Blockchain, Inc. on Wednesday said Jeff McGonegal, chief financial officer, will retire from that position, effective Aug. 15.
McGonegal will move into a new role as senior adviser. He is expec… [+379 chars]",-0.128,0.08,0.093,0.827
35,2022-06-01,"NEW YORK (AP) A swift jump in Treasury yields is rattling Wall Street on Wednesday, sending stock indexes down about 1% at the start of another month in whats been a turbulent year. 
The S&amp;P 500… [+3704 chars]",0.3818,0.091,0.0,0.909
36,2022-06-01,"The Dow Jones Industrial Average(^DJI -0.54%) slipped about 177 points today, despite a better-than-expected earnings report from Salesforce(CRM 9.88%) that pushed the stock nearly 10% higher, which … [+3163 chars]",0.0,0.0,0.0,1.0
37,2022-06-02,Bank of Japan policy board member Seiji Adachi rejected some speculation in the markets that the bank may follow other global central banks in tightening monetary policy to avoid further falls in the… [+610 chars],-0.6705,0.0,0.143,0.857
38,2022-06-02,"By Yasin Ebrahim
Investing.com -- The Dow cut losses to close higher Thursday, led by growth sectors as investors bought the dip in Microsoft following a warning on performance and shrugged off sign… [+2806 chars]",-0.5574,0.064,0.176,0.76
39,2022-06-02,"SHANGHAI, June 2 (Reuters) - Asian share markets fell on Thursday on widespread investor worries over high inflation and the threat of recession, while oil prices slumped following a report of reassu… [+3304 chars]",-0.7783,0.053,0.218,0.728
40,2022-06-03,"The U.S. is forecast to add 328,000 new jobs in May, down from 428,000 in the prior month, according to economists polled by The Wall Street Journal. The unemployment rate is expected to slip to 3.5%… [+332 chars]",-0.4404,0.0,0.073,0.927
41,2022-06-03,"A fat-finger error by a London-based trader at Citigroup that triggered a flash crash across European stock markets could cost the bank at least $50m (£39.8m).
The trader was working from home last … [+2719 chars]",-0.6597,0.0,0.137,0.863
42,2022-06-03,June 3 (Reuters) - Asian shares rose broadly on Friday morning after softer-than-expected U.S. employment data raised the possibility of the Federal Reserve turning less aggressive on its policy tigh… [+3203 chars],0.2247,0.066,0.039,0.895
43,2022-06-06,"US futures and global stocks rallied on Monday as investors' fears about the global economy ebbed, following moves by China to loosen coronavirus restrictions and Friday's strong US jobs report.
S&a… [+2612 chars]",0.128,0.089,0.075,0.836
44,2022-06-06,"The Dow Jones Industrial Average gave up some small gains earlier in the day to finish Monday roughly flat, adding about 16 points on the day. There was little today that could sway investor sentimen… [+2702 chars]",0.34,0.062,0.0,0.938
45,2022-06-08,"If you're at all interested in the world of investing, you'll notice the phrase ""bull market"" comes up a lot in common parlance. ""The bulls were out today,"" says some strategist on TV or Twitter, and… [+10096 chars]",0.4019,0.068,0.0,0.932
46,2022-06-08,"Mission Produce Inc. 
 AVO,
 -0.14%
said revenue rose 18% in the second quarter as an increase in prices offset a decrease in volume sold.
The avocado producer and distributor said net income fel… [+1205 chars]",0.3182,0.063,0.0,0.937
47,2022-06-08,"Japans economy shrank at a slightly slower pace than initially estimated in the January-March quarter, although spending by households and companies still showed sluggishness.
The worlds third-large… [+578 chars]",0.0,0.0,0.0,1.0
48,2022-06-08,"US stocks dropped Wednesday, as investors continued to fret over the prospect for the economy and as oil jumped to a 13-week high. 
Brent crude jumped more than 2% to 123 a barrel, and West Texas In… [+2155 chars]",-0.3612,0.051,0.086,0.862
49,2022-06-08,Industria de Diseno Textil SA said Wednesday that sales and earnings grew strongly in the first quarter of its fiscal year despite store closures in China and the effects of the Russia-Ukraine crisis… [+1174 chars],0.2732,0.058,0.0,0.942
50,2022-06-09,"BEIJING Chinas exports rebounded strongly in May as the worlds second-largest economy gradually emerged from COVID-19 lockdowns, factories resumed production and the supply-chain crunch eased.
Expor… [+581 chars]",0.5106,0.142,0.0,0.858
51,2022-06-09,Blackstone Inc.s $6.3 billion takeover of Australias Crown Resorts Ltd. edged closer to approval after regulators in two Australian states cleared the U.S. private-equity giant to operate a casino.Ca… [+1692 chars],0.5423,0.134,0.0,0.866
